title,party,view,value,body
Deficits,Bloc Québécois ,tax cut,0,"Leader Yves-François Blanchet isn’t in a rush to reduce the deficit. He’s proposed keeping a deficit between $12 and $18 billion over the next four years. He has criticized the Liberals deficit reduction plans, claiming it’s being done “artificially” through “accounting maneuvers” and accusing the government of placing the burden on the provinces."
Deficits,Green ,tax cut,-1,"Leader Elizabeth May has committed to balancing the budget in five years. Among the ways she says her party would do it is by increasing the corporate tax rate to 21 per cent, raising $2 billion from a “wealth tax,” imposing a new tax on sugary drinks, and imposing a financial transactions tax of 0.5 per cent."
Deficits,People's Party ,tax cut,0,"Leader Maxime Bernier has promised to eliminate the deficit within two years and maintain a balanced budget after that. To pay for it, he would cut funding for the CBC, foreign development aid, corporate handouts and subsidies, equalization payments and any programs which provinces or municipalities are responsible for."
Deficits,Liberal ,foreign aid cut,0,"The party had pledged to keep deficits under $10 billion and said its government would balance the books by 2019. It hasn’t. The Liberals’ election platform includes $9.3 billion in new spending in 2020-2021, with the deficit rising to $27.4 billion that same fiscal year. Given current trends, the finance department doesn’t predict a return to balanced budgets until at least 2040."
Deficits,Conservative ,foreign aid cut,1,"Leader Andrew Scheer has promised his party would erase the deficit while cutting taxes. His plan to do that includes slashing foreign aid by 25 per cent, cancelling corporate handouts and cutting costs on consultants and federally owned real estate. He has promised to balance the books over five years. If accomplished, he pledges legislation to make sure all future budgets are balanced ones."
Deficits,New Democrat ,foreign aid cut,0,"The party plans to balance the budget “when prudent” but has no target date. It’s proposing running a $32.7 billion deficit in 2020. That’s a stark contrast to the 2015 campaign, when the party promised to run four years of balanced budgets."
Deficits,Bloc Québécois ,foreign aid cut,0,"Leader Yves-François Blanchet isn’t in a rush to reduce the deficit. He’s proposed keeping a deficit between $12 and $18 billion over the next four years. He has criticized the Liberals deficit reduction plans, claiming it’s being done “artificially” through “accounting maneuvers” and accusing the government of placing the burden on the provinces."
Deficits,Green ,foreign aid cut,0,"Leader Elizabeth May has committed to balancing the budget in five years. Among the ways she says her party would do it is by increasing the corporate tax rate to 21 per cent, raising $2 billion from a “wealth tax,” imposing a new tax on sugary drinks, and imposing a financial transactions tax of 0.5 per cent."
Deficits,People's Party ,foreign aid cut,1,"Leader Maxime Bernier has promised to eliminate the deficit within two years and maintain a balanced budget after that. To pay for it, he would cut funding for the CBC, foreign development aid, corporate handouts and subsidies, equalization payments and any programs which provinces or municipalities are responsible for."
Deficits,Liberal ,deficit reduction,-1,"The party had pledged to keep deficits under $10 billion and said its government would balance the books by 2019. It hasn’t. The Liberals’ election platform includes $9.3 billion in new spending in 2020-2021, with the deficit rising to $27.4 billion that same fiscal year. Given current trends, the finance department doesn’t predict a return to balanced budgets until at least 2040."
Deficits,Conservative ,deficit reduction,0.5,"Leader Andrew Scheer has promised his party would erase the deficit while cutting taxes. His plan to do that includes slashing foreign aid by 25 per cent, cancelling corporate handouts and cutting costs on consultants and federally owned real estate. He has promised to balance the books over five years. If accomplished, he pledges legislation to make sure all future budgets are balanced ones."
Deficits,New Democrat ,deficit reduction,0.5,"The party plans to balance the budget “when prudent” but has no target date. It’s proposing running a $32.7 billion deficit in 2020. That’s a stark contrast to the 2015 campaign, when the party promised to run four years of balanced budgets."
Deficits,Bloc Québécois ,deficit reduction,-0.5,"Leader Yves-François Blanchet isn’t in a rush to reduce the deficit. He’s proposed keeping a deficit between $12 and $18 billion over the next four years. He has criticized the Liberals deficit reduction plans, claiming it’s being done “artificially” through “accounting maneuvers” and accusing the government of placing the burden on the provinces."
Deficits,Green ,deficit reduction,1,"Leader Elizabeth May has committed to balancing the budget in five years. Among the ways she says her party would do it is by increasing the corporate tax rate to 21 per cent, raising $2 billion from a “wealth tax,” imposing a new tax on sugary drinks, and imposing a financial transactions tax of 0.5 per cent."
Deficits,People's Party ,deficit reduction,1,"Leader Maxime Bernier has promised to eliminate the deficit within two years and maintain a balanced budget after that. To pay for it, he would cut funding for the CBC, foreign development aid, corporate handouts and subsidies, equalization payments and any programs which provinces or municipalities are responsible for."
Education,Liberal ,taxfree student loans,1,"Liberals propose making student loans interest-free for two years after graduation and promise graduates won’t have to pay until they earn over $35,000 annually. The party also proposes allowing parents to pause loan payments with no interest until their youngest kid turns five. It plans to boost the maximum Canada Student Grants for full-time students from $3,000 to $4,200."
Education,Conservative ,taxfree student loans,0,"Conservatives have promised a boost to the Registered Education Savings Plan (RESP) that would raise contributions from 20 per cent to 30 per cent for every dollar invested up to $2,500 a year, to a maximum of $750 a year. The party would create a post-school jobs program for international students to help them stay in Canada."
Education,New Democrat ,taxfree student loans,0.5,"The NDP’s goal is to work towards free university and college tuition. To get there, they say they’ll work with provinces and territories to put a cap on and reduce tuitions. The party says it will eliminate federal interest rates on student loans and put more money into Canada Student Grants. It also wants to expand the education benefit from veterans and implement a national school nutrition program."
Education,Bloc Québécois ,taxfree student loans,0,The Bloc wants larger transfer payments to provinces and territories to help pay for education and finance more university research.
Education,Green ,taxfree student loans,0,Greens want to get rid of university and college tuition — and forgive any existing federal student debt. The party wants to make sure all Indigenous students have access to post-secondary education while expanding curriculum on Indigenous education overall. It would boost funding for training new immigrants in English and French and supports a national school lunch program.
Education,People's Party ,taxfree student loans,0,Leader Maxime Bernier feels the federal government intervenes too much in education and calls it “provincial jurisdiction.” But he has yet to outline exactly what he would do to change the current system.
Education,Liberal ,free college,0,"Liberals propose making student loans interest-free for two years after graduation and promise graduates won’t have to pay until they earn over $35,000 annually. The party also proposes allowing parents to pause loan payments with no interest until their youngest kid turns five. It plans to boost the maximum Canada Student Grants for full-time students from $3,000 to $4,200."
Education,Conservative ,free college,0,"Conservatives have promised a boost to the Registered Education Savings Plan (RESP) that would raise contributions from 20 per cent to 30 per cent for every dollar invested up to $2,500 a year, to a maximum of $750 a year. The party would create a post-school jobs program for international students to help them stay in Canada."
Education,New Democrat ,free college,1,"The NDP’s goal is to work towards free university and college tuition. To get there, they say they’ll work with provinces and territories to put a cap on and reduce tuitions. The party says it will eliminate federal interest rates on student loans and put more money into Canada Student Grants. It also wants to expand the education benefit from veterans and implement a national school nutrition program."
Education,Bloc Québécois ,free college,0,The Bloc wants larger transfer payments to provinces and territories to help pay for education and finance more university research.
Education,Green ,free college,1,Greens want to get rid of university and college tuition — and forgive any existing federal student debt. The party wants to make sure all Indigenous students have access to post-secondary education while expanding curriculum on Indigenous education overall. It would boost funding for training new immigrants in English and French and supports a national school lunch program.
Education,People's Party ,free college,-0.5,Leader Maxime Bernier feels the federal government intervenes too much in education and calls it “provincial jurisdiction.” But he has yet to outline exactly what he would do to change the current system.
Education,Liberal ,saving plan,0,"Liberals propose making student loans interest-free for two years after graduation and promise graduates won’t have to pay until they earn over $35,000 annually. The party also proposes allowing parents to pause loan payments with no interest until their youngest kid turns five. It plans to boost the maximum Canada Student Grants for full-time students from $3,000 to $4,200."
Education,Conservative ,saving plan,1,"Conservatives have promised a boost to the Registered Education Savings Plan (RESP) that would raise contributions from 20 per cent to 30 per cent for every dollar invested up to $2,500 a year, to a maximum of $750 a year. The party would create a post-school jobs program for international students to help them stay in Canada."
Education,New Democrat ,saving plan,0,"The NDP’s goal is to work towards free university and college tuition. To get there, they say they’ll work with provinces and territories to put a cap on and reduce tuitions. The party says it will eliminate federal interest rates on student loans and put more money into Canada Student Grants. It also wants to expand the education benefit from veterans and implement a national school nutrition program."
Education,Bloc Québécois ,saving plan,0,The Bloc wants larger transfer payments to provinces and territories to help pay for education and finance more university research.
Education,Green ,saving plan,0,Greens want to get rid of university and college tuition — and forgive any existing federal student debt. The party wants to make sure all Indigenous students have access to post-secondary education while expanding curriculum on Indigenous education overall. It would boost funding for training new immigrants in English and French and supports a national school lunch program.
Education,People's Party ,saving plan,0,Leader Maxime Bernier feels the federal government intervenes too much in education and calls it “provincial jurisdiction.” But he has yet to outline exactly what he would do to change the current system.
Education,Liberal ,research budget increase,0,"Liberals propose making student loans interest-free for two years after graduation and promise graduates won’t have to pay until they earn over $35,000 annually. The party also proposes allowing parents to pause loan payments with no interest until their youngest kid turns five. It plans to boost the maximum Canada Student Grants for full-time students from $3,000 to $4,200."
Education,Conservative ,research budget increase,0,"Conservatives have promised a boost to the Registered Education Savings Plan (RESP) that would raise contributions from 20 per cent to 30 per cent for every dollar invested up to $2,500 a year, to a maximum of $750 a year. The party would create a post-school jobs program for international students to help them stay in Canada."
Education,New Democrat ,research budget increase,0,"The NDP’s goal is to work towards free university and college tuition. To get there, they say they’ll work with provinces and territories to put a cap on and reduce tuitions. The party says it will eliminate federal interest rates on student loans and put more money into Canada Student Grants. It also wants to expand the education benefit from veterans and implement a national school nutrition program."
Education,Bloc Québécois ,research budget increase,1,The Bloc wants larger transfer payments to provinces and territories to help pay for education and finance more university research.
Education,Green ,research budget increase,0,Greens want to get rid of university and college tuition — and forgive any existing federal student debt. The party wants to make sure all Indigenous students have access to post-secondary education while expanding curriculum on Indigenous education overall. It would boost funding for training new immigrants in English and French and supports a national school lunch program.
Education,People's Party ,research budget increase,0,Leader Maxime Bernier feels the federal government intervenes too much in education and calls it “provincial jurisdiction.” But he has yet to outline exactly what he would do to change the current system.
Environment,Liberal ,reforestation,1,"The party pledges to protect a quarter of Canada's natural land and ocean habitats by 2025. It plans to plant two billion trees over 10 years to help reach emissions targets. Liberals also want to create the Canada Water Agency, a national group focused on water infrastructure and security. They promise to ban some single-use plastics as early as 2021."
Environment,Conservative ,reforestation,0.5,Conservatives want to ban the practice of dumping raw sewage into waterways. The party would only allow plastic waste to be sent abroad for recycling. It promises to boost funding to protect forests from pests and improve technology for predicting and monitoring wildfires
Environment,New Democrat ,reforestation,0.5,"The NDP pledges to protect 30 per cent of the country’s natural land, freshwater and oceans by 2030. It also wants to boost reforestation, but doesn’t offer a tree planting number. The party wants to create a national freshwater strategy. It promises to introduce a ban on some single-use plastics by 2022 and make plastic-producing companies responsible for their product’s lifecycle."
Environment,Bloc Québécois ,reforestation,0,"The Bloc wants Ottawa to respect Quebec’s authority on all environmental issues, notably its opposition of pipelines. It also wants to eliminate neonicotinoid pesticides, which have been blamed for bee deaths."
Environment,Green ,reforestation,1,"Greens aim to protect a minimum of 30 per cent of Canada’s natural land, freshwater and oceans by 2030. They want to ban all neonicotinoid pesticides and some single-use plastics by 2022. The party promises to develop a forest strategy and a water strategy, with the goal of providing everyone with safe drinking water. It also wants to curb solid waste exports."
Environment,People's Party ,reforestation,0,"The party hasn’t offered many details on its plans for the environment. But it does say it wants to use “practical solutions” to make our soil, water and air cleaner. It hasn’t said what those solutions might be."
Environment,Liberal ,land protection,1,"The party pledges to protect a quarter of Canada's natural land and ocean habitats by 2025. It plans to plant two billion trees over 10 years to help reach emissions targets. Liberals also want to create the Canada Water Agency, a national group focused on water infrastructure and security. They promise to ban some single-use plastics as early as 2021."
Environment,Conservative ,land protection,0,Conservatives want to ban the practice of dumping raw sewage into waterways. The party would only allow plastic waste to be sent abroad for recycling. It promises to boost funding to protect forests from pests and improve technology for predicting and monitoring wildfires
Environment,New Democrat ,land protection,1,"The NDP pledges to protect 30 per cent of the country’s natural land, freshwater and oceans by 2030. It also wants to boost reforestation, but doesn’t offer a tree planting number. The party wants to create a national freshwater strategy. It promises to introduce a ban on some single-use plastics by 2022 and make plastic-producing companies responsible for their product’s lifecycle."
Environment,Bloc Québécois ,land protection,0,"The Bloc wants Ottawa to respect Quebec’s authority on all environmental issues, notably its opposition of pipelines. It also wants to eliminate neonicotinoid pesticides, which have been blamed for bee deaths."
Environment,Green ,land protection,1,"Greens aim to protect a minimum of 30 per cent of Canada’s natural land, freshwater and oceans by 2030. They want to ban all neonicotinoid pesticides and some single-use plastics by 2022. The party promises to develop a forest strategy and a water strategy, with the goal of providing everyone with safe drinking water. It also wants to curb solid waste exports."
Environment,People's Party ,land protection,0,"The party hasn’t offered many details on its plans for the environment. But it does say it wants to use “practical solutions” to make our soil, water and air cleaner. It hasn’t said what those solutions might be."
Environment,Liberal ,water protection,1,"The party pledges to protect a quarter of Canada's natural land and ocean habitats by 2025. It plans to plant two billion trees over 10 years to help reach emissions targets. Liberals also want to create the Canada Water Agency, a national group focused on water infrastructure and security. They promise to ban some single-use plastics as early as 2021."
Environment,Conservative ,water protection,0.5,Conservatives want to ban the practice of dumping raw sewage into waterways. The party would only allow plastic waste to be sent abroad for recycling. It promises to boost funding to protect forests from pests and improve technology for predicting and monitoring wildfires
Environment,New Democrat ,water protection,1,"The NDP pledges to protect 30 per cent of the country’s natural land, freshwater and oceans by 2030. It also wants to boost reforestation, but doesn’t offer a tree planting number. The party wants to create a national freshwater strategy. It promises to introduce a ban on some single-use plastics by 2022 and make plastic-producing companies responsible for their product’s lifecycle."
Environment,Bloc Québécois ,water protection,0,"The Bloc wants Ottawa to respect Quebec’s authority on all environmental issues, notably its opposition of pipelines. It also wants to eliminate neonicotinoid pesticides, which have been blamed for bee deaths."
Environment,Green ,water protection,1,"Greens aim to protect a minimum of 30 per cent of Canada’s natural land, freshwater and oceans by 2030. They want to ban all neonicotinoid pesticides and some single-use plastics by 2022. The party promises to develop a forest strategy and a water strategy, with the goal of providing everyone with safe drinking water. It also wants to curb solid waste exports."
Environment,People's Party ,water protection,0,"The party hasn’t offered many details on its plans for the environment. But it does say it wants to use “practical solutions” to make our soil, water and air cleaner. It hasn’t said what those solutions might be."
Guns,Liberal ,background checks,1,"Liberals already introduced Bill C-71, expanding firearm background checks. But they’ve rolled out more gun policy mid-campaign, promising to ban semi-automatic assault-style rifles and buy back any that were legally purchased. Like the NDP, they want to give cities more power to restrict or ban handguns. The party has reiterated it will not bring back the long-gun registry."
Guns,Conservative ,background checks,-1,"Conservatives strongly oppose a handgun ban and promise to repeal C-71, the Liberals’ gun bill. The party would target gangs to reduce gun crime and propose lifetime bans for those convicted of violent crimes or gang activity. It would impose five-year mandatory minimum sentences on gang members, revoking parole and automatic bail. Conservatives promise more money for police to combat gun and gang violence."
Guns,New Democrat ,background checks,0,"The party has not endorsed a national handgun ban but has called for cities to be given the power to ban handguns. It also wants to crack down on illegal guns and combat smuggling. The party has pledged $100 million over five years for after-school, sports and drop-in centre programs, to prevent youth from getting into violence."
Guns,Bloc Québécois ,background checks,0,"The party has not released a policy on this issue. But guns have been a big talking point in Quebec since the 2017 mosque shooting that claimed six lives. The province instituted its own gun registry a year after the shooting, though most guns still have not been registered."
Guns,Green ,background checks,1,"Greens are in favour of both a handgun and an assault rifle ban. To make it happen, they would run a confidential buy-back program. The party wants to make sure they are “kept out of our cities.” It would permit handguns if “restricted to secure shooting ranges.”"
Guns,People's Party ,background checks,-1,"The party has criticized any moves to make gun ownership more complex and supports lifetime firearm certifications after proper vetting and training. It promises anyone who legally bought a gun and had to relinquish it to the government due to new rules would be reimbursed. It wants future regulation of firearms to be handled by Parliament, not police or cabinet."
Guns,Liberal ,rifle ban,1.5,"Liberals already introduced Bill C-71, expanding firearm background checks. But they’ve rolled out more gun policy mid-campaign, promising to ban semi-automatic assault-style rifles and buy back any that were legally purchased. Like the NDP, they want to give cities more power to restrict or ban handguns. The party has reiterated it will not bring back the long-gun registry."
Guns,Conservative ,rifle ban,0,"Conservatives strongly oppose a handgun ban and promise to repeal C-71, the Liberals’ gun bill. The party would target gangs to reduce gun crime and propose lifetime bans for those convicted of violent crimes or gang activity. It would impose five-year mandatory minimum sentences on gang members, revoking parole and automatic bail. Conservatives promise more money for police to combat gun and gang violence."
Guns,New Democrat ,rifle ban,0.5,"The party has not endorsed a national handgun ban but has called for cities to be given the power to ban handguns. It also wants to crack down on illegal guns and combat smuggling. The party has pledged $100 million over five years for after-school, sports and drop-in centre programs, to prevent youth from getting into violence."
Guns,Bloc Québécois ,rifle ban,0,"The party has not released a policy on this issue. But guns have been a big talking point in Quebec since the 2017 mosque shooting that claimed six lives. The province instituted its own gun registry a year after the shooting, though most guns still have not been registered."
Guns,Green ,rifle ban,1,"Greens are in favour of both a handgun and an assault rifle ban. To make it happen, they would run a confidential buy-back program. The party wants to make sure they are “kept out of our cities.” It would permit handguns if “restricted to secure shooting ranges.”"
Guns,People's Party ,rifle ban,-1,"The party has criticized any moves to make gun ownership more complex and supports lifetime firearm certifications after proper vetting and training. It promises anyone who legally bought a gun and had to relinquish it to the government due to new rules would be reimbursed. It wants future regulation of firearms to be handled by Parliament, not police or cabinet."
Guns,Liberal ,buy back program,1,"Liberals already introduced Bill C-71, expanding firearm background checks. But they’ve rolled out more gun policy mid-campaign, promising to ban semi-automatic assault-style rifles and buy back any that were legally purchased. Like the NDP, they want to give cities more power to restrict or ban handguns. The party has reiterated it will not bring back the long-gun registry."
Guns,Conservative ,buy back program,0,"Conservatives strongly oppose a handgun ban and promise to repeal C-71, the Liberals’ gun bill. The party would target gangs to reduce gun crime and propose lifetime bans for those convicted of violent crimes or gang activity. It would impose five-year mandatory minimum sentences on gang members, revoking parole and automatic bail. Conservatives promise more money for police to combat gun and gang violence."
Guns,New Democrat ,buy back program,0,"The party has not endorsed a national handgun ban but has called for cities to be given the power to ban handguns. It also wants to crack down on illegal guns and combat smuggling. The party has pledged $100 million over five years for after-school, sports and drop-in centre programs, to prevent youth from getting into violence."
Guns,Bloc Québécois ,buy back program,0,"The party has not released a policy on this issue. But guns have been a big talking point in Quebec since the 2017 mosque shooting that claimed six lives. The province instituted its own gun registry a year after the shooting, though most guns still have not been registered."
Guns,Green ,buy back program,1,"Greens are in favour of both a handgun and an assault rifle ban. To make it happen, they would run a confidential buy-back program. The party wants to make sure they are “kept out of our cities.” It would permit handguns if “restricted to secure shooting ranges.”"
Guns,People's Party ,buy back program,-1,"The party has criticized any moves to make gun ownership more complex and supports lifetime firearm certifications after proper vetting and training. It promises anyone who legally bought a gun and had to relinquish it to the government due to new rules would be reimbursed. It wants future regulation of firearms to be handled by Parliament, not police or cabinet."
